cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Male,53,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Passenger,Female,48,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Driver,Female,39.88915925,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Driver,Female,53,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,54,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,20,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Rider,Male,15,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,1,peak,50,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Roll Over,No Control
Driver,Female,34,Driver,NotFatal,Worn,Small,Full,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,26,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,60,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,25,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,100,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Female,85,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,100,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Passenger,Female,23,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
Driver,Female,39.88915925,Driver,NotFatal,Worn,Small,Unknown,2,3 Country,2,off-peak,110,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Passenger,Female,25,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,2,off-peak,110,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Pedestrian,Male,43,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Driver,Female,35,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,18,Driver,NotFatal,Worn,Small,Provisional 2,2,2 Metropolitan,2,off-peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
Passenger,Female,18,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,off-peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
Passenger,Female,49,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,1,off-peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Night,Roll Over,No Control
Driver,Male,19,Driver,NotFatal,Worn,Utility,Provisional 2,1,3 Country,2,off-peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Male,36,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,80,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
Driver,Male,88,Driver,NotFatal,Worn,Small,Full,2,3 Country,2,peak,100,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Passenger,Female,88,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,2,peak,100,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Female,62,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,5,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,32,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Male,53,Driver,NotFatal,Worn,Small,Full,1,1 City,2,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,61,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Night,Rear End,No Control
Driver,Male,60,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,41,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OPEN",Slope,Wet,Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Male,64,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OPEN",Slope,Wet,Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Female,57,Driver,NotFatal,Worn,Medium,Full,2,3 Country,2,off-peak,100,Divided Road,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,46,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,2,off-peak,100,Divided Road,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,86,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,off-peak,100,Divided Road,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Head On,No Control
Rider,Male,54,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,1,off-peak,60,Freeway,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Roll Over,No Control
Rider,Male,63,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,47,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,33,Driver,NotFatal,NotWorn,Small,Provisional 2,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
Driver,Female,38,Driver,NotFatal,Worn,Small,Probationary,2,2 Metropolitan,4,off-peak,60,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,39.88915925,Driver,NotFatal,Worn,Small,Provisional 2,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Passenger,Female,22,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Male,39.88915925,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Passenger,Female,79,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Passenger,Male,3,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,peak,60,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Rider,Male,50,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,3 Country,2,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Rider,Male,17,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,3,peak,70,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,36,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,3,peak,70,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,27,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Rider,Female,31,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Give Way Sign
Driver,Male,40,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Male,17,Driver,NotFatal,Worn,Small,Provisional 1 ,1,3 Country,2,off-peak,40,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Female,38,Driver,NotFatal,Worn,Medium,Unlicenced,2,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,3,Rear Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,58,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,50,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,27,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,55,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Rider,Male,36,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,3 Country,2,peak,60,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,23,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,44,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,49,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Rider,Male,53,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
