"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2018-983-15/08/2019","02",0,"SA","Motor Cars - Sedan","2011","West","Female","041","SA","C ","Full","Not Towing","Straight Ahead","002","5098",,
"2018-984-15/08/2019","01",0,"SA","OMNIBUS","2011","North West","Male","049","SA","HR","Full","Not Towing","Straight Ahead","020","5110",,
"2018-984-15/08/2019","02",0,"SA","Motor Cars - Sedan","2007","North West","Female","XXX","SA","C ","Full","Unknown","Stopped on Carriageway","001","5108",,
"2018-985-15/08/2019","01",0,"SA","Motor Cars - Sedan","2004","North","Female","042","SA","C ","Full","Not Towing","Straight Ahead","002","5098",,
"2018-985-15/08/2019","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2018-986-15/08/2019","01",0,"SA","Motor Cars - Sedan","1995","East","Female","020","SA","C ","Provisional 1 ","Not Towing","Right Turn","002","5042",,
"2018-986-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-987-15/08/2019","01",0,"SA","Motor Cycle","2009","South","Female","059","SA","C R ","Full","Not Towing","Straight Ahead","001","5162",,
"2018-987-15/08/2019","02",0,"SA","Station Wagon","2010","South","Female","036","SA","C ","Full","Not Towing","Swerving","001","XXXX",,
"2018-988-15/08/2019","01",1,"SA","Station Wagon","2005","North West","Male","046","SA","C ","Full","Not Towing","U Turn","001","5345",,
"2018-988-15/08/2019","02",1,"SA","Motor Cars - Sedan","2010","North West","Female","065","SA","C ","Full","Not Towing","Straight Ahead","003","XXXX",,
"2018-989-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","South","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Stopped on Carriageway","001","5095",,
"2018-989-15/08/2019","02",0,"SA","Utility","2016","South","Male","075","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5212",,
"2018-990-15/08/2019","01",0,"SA","SEMI TRAILER","2014","South","Male","045","SA","MCR ","Full","Trailer","Straight Ahead","001","5074",,
"2018-990-15/08/2019","02",1,"SA","Motor Cars - Sedan","1991","South","Male","031","SA","C ","Full","Not Towing","Swerving","001","5109",,
"2018-991-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","North East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2018-991-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North East",,,,,,"Unknown","Parked","000",,,
"2018-992-15/08/2019","01",0,"SA","Station Wagon","2008","South","Female","031","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5173",,
"2018-992-15/08/2019","02",0,"SA","Utility","1995","South","Male","048","SA","C ","Full","Not Towing","Straight Ahead","001","5086",,
"2018-993-15/08/2019","01",0,"SA","Motor Cars - Sedan","2001","South East","Female","065","SA","C ","Full","Not Towing","Straight Ahead","001","5016",,
"2018-993-15/08/2019","02",0,"SA","Station Wagon","2010","South East","Male","028","SA","C ","Full","Unknown","Stopped on Carriageway","001","5043",,
"2018-994-15/08/2019","01",0,"SA","Utility","2010","South East","Male","XXX","SA","MR","Full","Not Towing","Stopped on Carriageway","002","5501",,
"2018-994-15/08/2019","02",0,,"Pedestrian on Road",,"South West","Male","062",,,,,"On Pedestrian Crossing",,"5034",,
"2018-995-15/08/2019","01",0,"SA","Motor Cars - Sedan","2001","South","Female","033","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","002","5095",,
"2018-995-15/08/2019","02",0,"SA","Station Wagon","2002","South","Male","048","SA","C ","Full","Not Towing","Straight Ahead","004","5008",,
"2018-996-15/08/2019","01",0,"SA","Panel Van","2013","North","Female","052","SA","C ","Full","Not Towing","Swerving","001","5159",,
"2018-996-15/08/2019","02",0,"SA","Utility","2005","South",,,,,,"Unknown","Parked","000",,,
"2018-997-15/08/2019","01",0,"SA","Motor Cars - Sedan","2013","West","Female","045","SA","C ","Full","Not Towing","Straight Ahead","001","5049",,
"2018-997-15/08/2019","02",0,,"Pedal Cycle",,"West","Male","009",,,,,"Straight Ahead","001","5064",,
"2018-998-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","West",,,,,,"Unknown","Parked","000",,,
"2018-998-15/08/2019","02",1,"SA","Motor Cars - Sedan","2009","East","Male","059","SA","C ","Full","Not Towing","Straight Ahead","001","5043",,
"2018-999-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","South West","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5076",,
"2018-999-15/08/2019","02",1,"SA","Motor Cars - Sedan","2012","South West","Male","066","SA","C ","Full","Not Towing","Straight Ahead","003","5076",,
"2018-999-15/08/2019","03",0,"SA","Motor Cars - Sedan","2008","South West","Female","064","SA","C ","Full","Not Towing","Straight Ahead","001","5092",,
"2018-1000-15/08/2019","01",1,"SA","Motor Cars - Sedan","2014","North","Male","034","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5116",,
"2018-1000-15/08/2019","02",0,"SA","Panel Van","2007","North","Male","057","SA","C R ","Full","Not Towing","Straight Ahead","001","5051",,
"2018-1001-15/08/2019","01",0,"SA","Motor Cars - Sedan","2004","East","Female","023","SA","C ","Full","Not Towing","Swerving","001","5093",,
"2018-1001-15/08/2019","02",0,"SA","Motor Cars - Sedan","2003","East",,,,,,"Unknown","Parked","000",,,
"2018-1002-15/08/2019","01",0,"SA","Motor Cars - Sedan","2009","South West","Female","033","SA","C ","Full","Not Towing","Straight Ahead","004","5085",,
"2018-1002-15/08/2019","02",1,,"Pedestrian on Road",,"North","Female","080",,,,,"Crossing without Control",,"5087",,
"2018-1003-15/08/2019","01",0,,"Pedal Cycle",,"North","Female","024",,,,,"Straight Ahead","001","5085",,
"2018-1003-15/08/2019","02",0,"SA","Motor Cars - Sedan","2006","North","Male","025","SA","C ","Full","Not Towing","Entering Private Driveway","001","5085",,
"2018-1004-15/08/2019","01",0,"SA","Motor Cars - Sedan","2001","East","Female","057","SA","C ","Full","Not Towing","Straight Ahead","001","5091",,
"2018-1004-15/08/2019","02",0,"SA","Station Wagon","2011","East","Female","039","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5091",,
"2018-1005-15/08/2019","01",2,"SA","Motor Cars - Sedan","2002","East","Female","017","SA","C ","Learners","Not Towing","Right Turn","002","5082",,
"2018-1005-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-1006-15/08/2019","01",0,"SA","Station Wagon","2014","North East","Female","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5154",,
"2018-1006-15/08/2019","02",0,"SA","Motor Cars - Sedan","2011","North East","Female","055","SA","C ","Full","Not Towing","Straight Ahead","002","5250",,
"2018-1007-15/08/2019","01",0,"SA","Motor Cars - Sedan","1998","South West","Male","028","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2018-1007-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-1007-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2018-1008-15/08/2019","01",0,"SA","Station Wagon","2017","West","Female","023","SA","C ","Full","Not Towing","Right Turn","003","XXXX",,
"2018-1008-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North","Male","056","SA","C ","Full","Not Towing","Straight Ahead","002","5063",,
"2018-1009-15/08/2019","01",2,"SA","Motor Cycle","2003","North East","Male","047","SA","HRR ","Full","Not Towing","Straight Ahead","002","5110",,
"2018-1010-15/08/2019","01",0,"SA","Utility","1997","North","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5118",,
"2018-1010-15/08/2019","02",0,"SA","Motor Cars - Sedan","2001","North","Male","041","SA","HC","Probationary","Not Towing","Stopped on Carriageway","002","5094",,
"2018-1011-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","South East","Female","042","SA","C ","Full","Not Towing","Straight Ahead","001","5251",,
"2018-1011-15/08/2019","02",0,"SA","Station Wagon","2010","South East",,,,,,"Not Towing","Parked","000",,,
"2018-1012-15/08/2019","01",0,"SA","Station Wagon","2012","North East","Female","026","SA","C ","Full","Not Towing","Straight Ahead","001","5043",,
"2018-1012-15/08/2019","02",1,,"Pedal Cycle",,"East","Male","072",,,,,"Straight Ahead","001","5039",,
"2018-1013-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North East","Female","020","SA","C ","Provisional 2","Not Towing","Entering Private Driveway","002","5159",,
"2018-1013-15/08/2019","02",0,"SA","Motor Cars - Sedan","2000","North East","Male","027","SA","C ","Full","Not Towing","Overtaking - on Right","001","5033",,
"2018-1014-15/08/2019","01",1,"SA","Motor Cars - Sedan","1997","North East","Male","065","SA","C ","Full","Not Towing","Straight Ahead","001","5113",,
"2018-1014-15/08/2019","02",1,"SA","Station Wagon","2004","South West","Female","057","SA","C ","Full","Not Towing","U Turn","001","5000",,
"2018-1015-15/08/2019","01",1,"SA","Motor Cycle","2002","North East","Male","047","SA","MCR ","Full","Not Towing","Straight Ahead","001","5110",,
"2018-1015-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2018-1016-15/08/2019","01",0,"SA","Station Wagon","2005","South East","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","002","5023",,
"2018-1016-15/08/2019","02",0,,"Pedal Cycle",,"South East","Unknown","XXX",,,,,"Straight Ahead","001","XXXX",,
"2018-1017-15/08/2019","01",0,"SA","Motor Cars - Sedan","2012","South West","Female","024","SA","C ","Full","Not Towing","Leaving Private Driveway","001","5116",,
"2018-1017-15/08/2019","02",0,"SA","Motor Cars - Sedan","2004","North West","Male","021","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5114",,
"2018-1018-15/08/2019","01",1,"SA","Motor Cars - Sedan","2008","East","Female","030","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5073",,
"2018-1018-15/08/2019","02",0,"SA","Utility","2017","East","Male","041","UNKNOWN","C ","Full","Not Towing","Straight Ahead","001","5074",,
"2018-1019-15/08/2019","01",0,"SA","Other Defined Special Vehicle","2015","North","Male","071","SA","HC","Full","Not Towing","Straight Ahead","001","5251",,
"2018-1019-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
"2018-1020-15/08/2019","01",1,"SA","Motor Cars - Sedan","1998","North East","Female","051","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5019",,
"2018-1020-15/08/2019","02",0,"SA","Motor Cars - Sedan","2014","North East","Female","031","SA","C ","Full","Not Towing","Straight Ahead","001","5016",,
"2018-1021-15/08/2019","01",1,,"Pedal Cycle",,"West","Male","040",,,,,"Straight Ahead","001","5125",,
"2018-1021-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2018-1022-15/08/2019","01",0,"SA","Station Wagon","2011","North East","Male","081","SA","LR","Full","Not Towing","Stopped on Carriageway","001","5107",,
