REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,cas_type,cas_gender,cas_age,cas_pos_in_veh,thrown_out,fatality,seat_belt,unit_type,lic_type,unit_movement,n_occupants,stat_area,total_units,cas_total,day,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
2018-1338-15/08/2019,1,1,Driver,Female,70.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
2018-1339-15/08/2019,1,1,Driver,Female,61.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,U Turn,1.0,2 Metropolitan,3,1,Monday,off-peak,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1343-15/08/2019,2,1,Rider,Male,44.0,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,2,1,Monday,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Stop Sign
2018-1345-15/08/2019,2,1,Rider,Male,39.88915925490854,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,1 City,2,1,Tuesday,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
2018-1349-15/08/2019,1,1,Passenger,Male,7.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Medium,NoLicence,Straight Ahead,2.0,3 Country,2,1,Friday,off-peak,100,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1350-15/08/2019,2,1,Driver,Male,40.0,Driver,Not Thrown Out,NotFatal,Worn,Utility,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
2018-1352-15/08/2019,1,1,Driver,Male,29.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,2,1,Tuesday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
2018-1353-15/08/2019,2,1,Driver,Male,28.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,2 Metropolitan,3,1,Tuesday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
2018-1356-15/08/2019,2,1,Pedestrian,Male,66.0,NotApplicable,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,Crossing without Control,1.0,2 Metropolitan,2,1,Tuesday,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
2018-1360-15/08/2019,1,1,Driver,Female,75.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Full,Straight Ahead,1.0,3 Country,2,1,Monday,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
